"UNITID","GBA4RTT","GRRTM","GRRTW"
100654,8,23,36
100663,40,59,66
100706,27,55,61
100724,16,27,37
100751,50,68,73
100760,NA,15,19
100830,9,29,37
100858,51,76,82
100937,61,63,77
101028,NA,19,18
101116,0,13,10
101143,NA,19,22
101161,NA,14,18
101189,15,22,45
101240,NA,23,27
101286,NA,36,27
101295,NA,45,44
101301,NA,34,29
101365,0,71,11
101435,41,42,59
101453,33,100,0
101462,NA,12,16
101471,NA,32,24
101480,20,33,49
101505,NA,12,18
101514,NA,25,27
101569,NA,19,20
101587,21,29,39
101602,NA,45,33
101648,NA,30,30
101675,13,19,34
101693,38,57,53
101709,33,43,61
101736,NA,28,21
101879,21,44,52
101897,NA,38,52
101912,29,37,61
101994,NA,31,26
102030,NA,37,19
102049,65,73,78
102058,1,0,2
102067,NA,20,20
102076,NA,40,40
102094,25,41,50
102234,43,48,61
102270,19,13,40
102298,12,34,34
102313,NA,28,10
102368,25,40,53
102377,29,41,58
102429,NA,29,26
102553,12,26,31
102580,100,40,40
102614,25,38,31
102632,13,27,25
102669,41,29,60
102845,0,41,45
103501,NA,68,77
103893,NA,52,68
103945,NA,43,31
104090,32,33,40
104151,49,61,66
104160,NA,24,26
104179,47,61,68
104188,17,24,8
104346,NA,20,18
104425,NA,21,30
104577,NA,46,26
104586,42,66,76
104708,NA,15,20
104717,35,40,41
105145,NA,17,24
105154,NA,14,22
105206,NA,17,15
105297,NA,9,14
105330,41,51,61
105349,NA,24,8
105428,NA,13,19
105525,NA,19,23
105534,NA,58,73
105543,NA,59,63
105589,20,27,34
105659,NA,68,75
105668,NA,3,10
105747,NA,17,23
105792,NA,22,24
105899,36,42,56
106041,NA,69,65
106148,NA,29,32
106245,25,41,44
106306,5,7,10
106342,46,50,57
106397,49,62,70
106412,17,26,42
106449,NA,28,30
106458,35,47,58
106467,25,35,42
106485,13,29,30
106546,NA,50,60
106625,NA,31,25
106704,28,37,48
106713,19,27,25
106795,NA,54,35
106810,6,19,26
106883,NA,49,28
106980,NA,28,35
106999,NA,29,48
107044,48,61,74
107071,24,36,41
107080,66,63,78
107141,62,74,70
107318,NA,22,25
107327,NA,36,28
107460,NA,27,21
107512,57,56,69
107521,NA,16,24
107549,NA,39,66
107558,39,49,56
107585,NA,37,37
107600,35,54,39
107619,NA,54,38
107637,NA,24,20
107664,NA,19,32
107725,NA,41,40
107743,NA,48,46
107840,NA,0,14
107877,33,37,40
107974,NA,44,25
107983,29,42,45
107992,NA,70,49
108092,21,29,40
108232,7,38,51
108667,NA,23,34
108807,NA,29,41
108852,NA,56,56
109040,NA,59,66
109208,NA,25,25
109350,NA,26,28
109651,28,61,73
109785,48,64,70
109819,NA,19,21
109907,NA,26,27
109934,NA,58,72
110060,8,15,39
110097,57,72,75
110219,NA,24,15
110246,NA,33,33
110334,NA,26,28
110361,43,62,64
110370,46,71,60
110404,84,93,94
110413,61,61,75
110422,51,78,87
110468,0,14,17
110486,16,35,48
110495,19,54,61
110510,14,52,57
110529,23,67,73
110538,30,64,70
110547,8,39,48
110556,16,50,61
110565,23,62,74
110574,13,44,53
110583,26,70,76
110592,8,46,55
110608,15,48,61
110617,12,50,58
110635,76,91,94
110644,63,84,88
110653,69,82,86
110662,80,90,93
110671,56,73,79
110680,65,85,89
110705,68,81,86
110714,52,73,76
110918,0,0,0
111081,54,56,65
111188,51,66,70
111434,NA,29,35
111461,NA,35,40
111638,NA,42,30
111887,NA,25,28
111896,NA,21,28
111920,NA,27,35
