"UNITID","STUFACR"
100654,20
100663,19
100690,13
100706,19
100724,15
100751,20
100760,18
100812,14
100830,16
100858,20
100937,11
101028,15
101116,6
101143,19
101161,22
101189,13
101240,15
101277,21
101286,16
101295,17
101301,13
101365,15
101435,13
101453,6
101462,12
101471,8
101480,18
101505,18
101514,22
101541,5
101569,17
101587,14
101602,17
101648,15
101675,16
101693,13
101709,13
101736,17
101879,16
101897,18
101912,11
101994,11
102030,19
102049,12
102058,13
102067,19
102076,20
102094,17
102234,13
102270,18
102298,20
102313,15
102368,15
102377,10
102395,9
102429,16
102553,14
102580,6
102614,10
102632,10
102669,7
102711,15
102845,25
103501,15
103741,18
103893,22
103945,8
103954,20
103963,19
104090,16
104151,20
104160,19
104179,15
104188,16
104346,16
104391,18
104425,15
104434,11
104443,13
104568,18
104577,19
104586,17
104708,21
104717,21
105145,15
105154,20
105206,13
105215,31
105297,13
105330,19
105349,16
105367,6
105428,17
105525,19
105534,25
105543,12
105589,9
105659,34
105668,32
105677,6
105747,17
105792,18
105899,15
106041,40
106111,13
106148,19
106245,13
106263,14
106306,24
106315,20
106324,7
106342,10
106351,20
106360,16
106397,18
106412,14
106449,18
106458,18
106467,18
106485,13
106494,16
106546,10
106625,13
106704,16
106713,11
106795,17
106810,13
106883,13
106892,18
106908,16
106980,19
106999,13
107044,15
107071,14
107080,11
107099,19
107123,8
107141,14
107220,5
107293,21
107318,10
107327,15
107442,20
107460,14
107488,6
107512,12
107521,10
107549,14
107558,15
107585,21
107600,14
107619,13
107637,12
107655,22
107664,17
107725,14
107743,18
107789,25
107831,24
107840,14
107877,12
107974,13
107983,16
107992,13
108065,12
108092,17
108232,14
108649,12
108667,32
108807,25
108852,15
108977,25
109040,45
109086,6
109208,27
109350,23
109651,8
109721,23
109730,12
109785,11
109819,28
109907,24
109934,22
110060,10
110097,14
110194,10
110219,31
110246,20
110316,11
110334,22
110361,16
110370,8
110404,3
110413,15
110422,20
110468,10
110486,24
110495,22
110510,29
110529,28
110538,24
110547,26
110556,23
110565,25
110574,26
110583,24
110592,24
110608,27
110617,26
110635,19
110644,20
110653,18
110662,18
110671,22
110680,19
110705,18
110714,25
110778,5
110875,21
110918,2
111045,7
111054,14
111081,7
111188,11
111434,24
111461,25
111513,11
111638,18
111708,29
111717,16
111726,18
111744,15
111762,10
111799,32
111887,27
111896,24
111920,26
111939,25
111948,13
111966,8
112075,16
112084,8
112172,45
112181,15
112190,25
112260,8
112288,16
112367,41
112385,36
112394,12
112455,13
112561,19
112570,12
112686,17
112826,23
113096,28
113111,26
113193,28
113218,23
113236,25
113333,29
113449,13
113537,4
113573,29
113582,9
113634,25
113698,9
113856,36
113980,29
114123,13
114266,30
114354,18
114390,11
114433,20
114460,15
114637,20
114716,27
114761,18
114789,28
114813,11
114859,27
114938,20
114947,10
115001,27
115010,16
115083,12
115126,29
115296,24
115357,15
115393,34
115409,8
115658,15
115728,8
115755,19
115773,12
115861,31
115931,20
116226,11
116350,12
116439,30
116563,18
116712,7
116846,7
117052,23
117104,11
117140,14
117168,12
117195,17
117238,21
117247,30
117274,20
117557,18
117575,8
117627,13
117636,3
117645,27
117672,9
117690,30
117706,29
117715,24
117724,24
117733,28
117751,12
117788,27
117803,3
117867,29
117894,23
117946,10
117955,20
118134,24
118143,10
118161,14
118198,21
118347,17
118541,17
118684,17
118693,17
118718,26
118772,30
118888,10
118912,22
118930,18
118958,15
118976,29
118994,19
119058,1
119067,20
119137,31
119164,24
119173,10
119216,29
119270,4
119331,18
119553,22
119605,16
119775,8
119845,15
119951,30
120069,24
120078,40
120087,17
120166,2
120184,12
120254,9
120290,25
120342,28
120403,9
120421,30
120537,13
120661,25
120698,15
120768,5
120838,5
120865,11
120883,14
120953,29
120971,26
121044,25
121150,13
121257,10
121275,12
121309,14
121345,7
121363,24
121433,20
121619,35
121637,11
121691,12
121707,18
121859,15
121868,15
121886,32
121901,27
121992,30
122117,10
122180,25
122205,26
122296,9
122339,21
122375,24
122384,26
122409,27
122436,14
122454,9
122506,3
122597,22
122612,13
122658,37
122685,20
122728,10
122746,25
122755,25
122791,24
122834,11
122852,12
122889,27
122931,10
122977,29
123013,21
123165,10
123217,28
123280,5
123299,29
123341,24
123350,13
123457,12
123484,16
123493,20
123509,27
123527,26
123554,11
123563,24
123572,22
123642,15
123651,15
123679,15
123800,26
123952,15
123961,9
124113,33
124292,11
124487,9
124681,25
124706,18
124937,20
125028,29
125091,24
125170,28
125231,17
125310,15
125462,29
125471,29
125499,17
125532,21
125727,11
125763,12
125897,9
126076,17
126119,20
126164,14
126182,15
126207,16
126289,23
126359,26
126562,17
126580,15
126605,11
126614,18
126669,13
126678,10
126687,14
126711,11
126748,13
126775,15
126784,11
126818,14
126827,31
126863,26
126872,9
126915,10
126942,21
126951,32
127060,12
127158,11
127185,15
127200,19
127316,13
127389,17
127556,20
127565,18
127617,12
127653,7
127714,5
127732,15
127741,17
127778,16
127820,22
127884,19
127909,21
127918,12
127945,10
127954,15
128106,15
128151,23
128179,22
128188,18
128258,12
128328,7
128337,20
128391,18
128498,14
128577,15
128586,7
128674,22
128744,16
128771,14
128780,14
128896,15
128902,9
129002,10
129020,16
129154,10
129181,18
129215,15
129242,12
129349,15
129367,14
129482,14
129525,9
129534,6
129543,17
129695,19
129729,15
129756,15
129774,13
129808,15
129923,14
129932,20
129941,16
130004,18
130040,15
130110,3
130174,10
130183,21
130217,14
130226,12
130253,13
130314,10
130396,15
130493,13
130509,15
130590,9
130606,16
130624,7
130697,8
130776,12
130794,6
130837,6
130873,12
130907,12
130934,16
130943,15
130989,19
131061,11
131098,10
131113,12
131159,11
131283,10
131399,9
131450,6
131469,13
131496,11
131520,10
131803,69
131830,6
131876,12
132374,17
132408,8
132471,12
132602,14
132657,18
132675,6
132693,17
132709,31
132842,12
132851,21
132879,8
132903,30
132976,15
133021,18
133155,20
133386,20
133465,14
133492,12
133508,30
133526,23
133553,17
133650,15
133669,21
133702,24
133711,16
133809,13
133845,30
133854,27
133863,36
133872,6
133881,14
133942,15
133951,27
133960,12
133979,13
133997,15
134024,4
134079,14
134097,21
134112,50
134130,17
134228,8
134237,27
134291,25
134307,14
134343,19
134495,24
134510,11
134529,15
134574,15
134608,24
134714,10
134811,14
134945,11
135081,14
135142,20
135160,18
135179,16
135188,26
135267,21
135276,20
135294,16
135337,22
135364,17
135391,30
135407,12
135522,6
135559,10
135610,9
135647,15
135717,19
135726,12
135735,18
136109,15
136145,20
136172,19
136215,17
136233,24
136303,6
136330,12
136358,29
136400,27
136473,23
136491,7
136516,27
136659,20
136765,24
136774,12
136826,18
136950,11
137023,15
137032,18
137078,22
137087,7
137096,22
137120,4
137209,27
137245,15
137272,4
137281,20
137315,17
137351,23
137476,12
137546,13
137564,23
137591,9
137713,7
137759,25
137777,4
137801,19
137847,17
137856,13
137865,16
137953,12
137962,9
138187,23
138275,14
138284,10
138293,24
138309,13
138354,21
138372,11
138479,14
138488,40
138497,6
138558,17
138600,10
138655,23
138664,12
138682,15
138716,19
138761,8
138813,19
138822,20
138840,16
138868,17
138901,18
138938,24
138947,19
138956,15
139144,11
139153,6
139199,10
139205,18
139214,8
139250,19
139278,19
139311,19
139357,17
139366,16
139384,21
139393,12
139463,18
139506,15
139579,9
139621,24
139630,15
139658,9
139700,21
139719,23
139746,9
139755,19
139764,16
139861,17
139931,20
139940,26
139959,17
139968,19
139986,17
139995,38
140003,14
140012,20
140234,11
140243,15
140252,13
140331,21
140340,14
140447,13
140553,14
140678,15
140696,15
140720,10
140818,11
140827,7
140872,13
140942,17
140951,20
140960,17
140988,12
141006,17
141015,7
141060,10
141167,10
141185,13
141237,18
141255,14
141264,20
141325,8
141334,18
141361,11
141486,11
141565,13
141574,12
141608,17
141644,17
141680,15
141796,16
141802,10
141811,21
141839,15
141981,18
141990,17
142054,16
142090,11
142115,18
142179,11
142276,13
142285,16
142294,11
142328,12
142407,10
142416,20
142443,13
142461,17
142489,13
142522,19
142559,19
142887,9
142957,2
143048,11
143084,11
143118,19
143181,10
143215,19
143279,19
143288,11
143297,10
143303,4
143358,12
143376,12
143464,13
143473,20
143482,15
143491,15
143543,7
143552,9
143613,14
143978,4
144005,10
144050,5
144157,18
144166,26
144175,19
144184,23
144193,30
144209,25
144218,29
144281,14
144351,12
144485,17
144564,16
144573,8
144740,16
144795,18
144865,21
144883,16
144892,14
144944,20
144962,13
144971,11
145099,20
145239,11
145309,7
145336,12
145354,3
145372,11
145406,16
145424,9
145433,23
145497,6
145521,12
145600,18
145619,14
145637,20
145646,11
145682,17
145691,13
145707,12
145725,12
145813,19
145831,15
146205,21
146278,13
146296,19
146339,13
146348,12
146366,19
146418,17
146427,10
146454,15
146472,17
146481,12
146506,19
146533,8
146603,18
146612,13
146667,15
146676,16
146685,20
146700,24
146719,14
146755,12
146807,9
146816,13
146825,13
147004,21
147013,14
147129,9
147244,10
147341,10
147369,20
147378,20
147396,9
147411,19
147439,10
147536,15
147590,6
147642,7
147660,14
147679,10
147703,15
147767,6
147776,13
147800,15
147819,14
147828,14
147916,15
148007,13
148016,7
148098,5
148131,14
148256,18
148292,15
148335,21
148380,16
148405,10
148487,10
148496,10
148511,5
148575,8
148584,13
148593,6
148627,16
148654,12
148672,15
148821,16
148876,8
148937,19
148955,14
148991,18
149028,7
149204,6
149222,12
149231,17
149310,15
149329,13
149365,13
149499,7
149505,10
149514,11
149532,19
149550,10
149639,6
149727,19
149763,10
149772,13
149781,10
149842,19
150048,9
150066,11
150136,14
150145,11
150163,11
150172,12
150251,18
150303,9
150400,8
150428,8
150455,7
150534,11
150604,11
150668,10
150677,20
150756,12
150765,13
150774,12
150853,13
150941,12
150987,19
151102,15
151111,15
151263,12
151290,11
151306,17
151324,18
151333,15
151342,13
151351,16
151360,14
151379,13
151388,15
151458,21
151467,14
151564,12
151607,10
151652,17
151661,27
151777,15
151786,13
151801,13
151810,22
151962,12
152044,20
152080,9
152099,12
152150,12
152275,15
152309,13
152318,11
152336,11
152381,8
152390,9
152497,7
152530,12
152567,15
152600,10
152628,9
152637,21
152673,10
152798,10
152992,11
153001,7
153074,8
153083,13
153108,13
153126,8
153144,10
153162,12
153214,19
153241,4
153250,14
153269,10
153278,13
153296,17
153302,8
153311,20
153320,13
153339,6
153366,12
153375,12
153384,9
153427,14
153445,17
153463,9
153472,14
153524,17
153533,14
153542,9
153588,8
153597,6
153603,18
153621,10
153630,18
153658,15
153737,19
153746,8
153764,14
153773,7
153782,6
153825,12
153834,11
153861,11
153922,20
153977,7
154004,13
154013,15
154022,14
154059,22
154095,17
154101,10
154110,14
154129,13
154165,4
154174,6
154208,15
154235,11
154262,6
154332,18
154341,5
154350,11
154378,16
154396,15
154448,11
154457,6
154466,12
154493,12
154518,21
154527,11
154545,12
154572,16
154590,13
154642,21
154688,11
154697,18
154712,14
154721,13
154749,9
154800,18
154855,16
154907,13
154925,24
154934,18
154952,16
154998,11
155007,10
155025,17
155052,14
155061,18
155070,12
155089,12
155098,20
155104,16
155140,25
155159,10
155177,9
155186,19
155195,17
155201,18
155210,19
155283,31
155292,14
155308,11
155317,17
155335,11
155353,10
155399,18
155414,11
155423,16
155450,15
155487,16
155496,12
155511,13
155520,13
155566,11
155593,10
155618,12
155627,11
155636,4
155681,16
155715,21
155812,11
155830,10
155858,16
155900,10
155937,11
155973,13
156082,15
156107,14
156125,19
156134,22
156189,21
156213,10
156231,18
156277,14
156286,12
156295,10
156310,7
156338,19
156356,13
156365,14
156392,19
156408,10
156417,10
156426,20
156471,14
156541,20
156620,15
156648,22
156745,11
156754,13
156790,17
156842,17
156851,15
156860,19
156921,22
156967,20
157021,23
157030,11
157058,11
157076,14
157085,16
157100,11
157216,17
157289,14
157304,17
157331,20
157377,17
157386,16
157401,15
157438,17
157447,18
157483,20
157535,15
157553,17
157614,12
157650,20
157669,21
157678,22
157711,18
157739,21
157748,17
157757,7
157793,9
157809,15
157818,11
157863,12
157951,18
158088,25
158246,10
158325,9
158343,10
158431,21
158477,9
158538,20
158617,20
158644,14
158662,18
158778,17
158787,16
158802,13
158884,24
159009,24
159027,11
159197,16
159328,17
159373,3
159382,16
159391,20
159407,22
159416,27
159513,15
159522,15
159531,5
159568,12
159601,6
159647,22
159656,12
159717,20
159939,20
159948,11
159966,20
159993,18
160010,14
160038,20
160065,10
160074,10
160117,22
160126,14
160199,14
160320,15
160409,6
160472,14
160481,20
160524,13
160579,21
160597,20
160612,20
160621,21
160630,21
160649,23
160658,20
160667,26
160755,8
160904,15
160959,10
160977,10
160995,15
161004,9
161022,6
161077,16
161086,9
161138,15
161192,15
161208,5
161217,14
161226,11
161235,15
161244,11
161253,15
161299,11
161341,13
161457,13
161484,12
161493,11
161509,8
161518,10
161527,13
161545,18
161554,13
161563,24
161572,14
161581,8
161688,12
161767,17
161800,20
161855,25
161864,16
161873,12
162007,17
162061,12
162104,12
162122,17
162168,15
162210,8
162283,13
162335,16
162371,15
162557,17
162584,15
162609,15
162654,11
162690,17
162706,18
162760,10
162779,14
162830,15
162928,6
163028,19
163046,12
163204,19
163259,7
163268,17
163286,18
163295,9
163338,11
163347,41
163408,20
163426,17
163453,13
163462,12
163532,18
163541,25
163578,7
163657,17
163754,9
163815,25
163851,15
163912,9
163976,8
164076,16
164155,8
164173,15
164216,10
164270,12
164313,15
164368,14
164447,18
164465,7
164492,12
164535,10
164562,12
164580,14
164599,5
164614,6
164632,12
164641,11
164720,12
164739,11
164748,10
164775,10
164845,16
164872,5
164924,13
164988,10
165015,10
165024,19
165033,16
165060,18
165112,22
165167,11
165194,11
165255,12
165264,9
165334,11
165529,12
165556,29
165574,17
165608,8
165635,32
165644,10
165662,15
165671,13
165699,11
165750,10
165802,14
165820,13
165866,13
165884,10
165936,11
165981,12
166018,13
166027,6
166045,1
166054,8
166124,10
166133,14
166391,13
166407,6
166452,10
166489,4
166498,15
166513,17
166629,17
166638,16
166647,14
166656,15
166674,10
166683,3
166692,15
166717,7
166805,9
166823,17
166850,15
166869,10
166887,18
166911,12
166939,9
166957,9
167039,8
167057,4
167260,16
167288,11
167297,10
167312,13
167358,14
167376,20
167394,11
167455,12
167525,20
167534,15
167598,9
167631,15
167677,5
167729,13
167783,8
167792,6
167835,8
167871,6
167899,11
167905,14
167987,16
167996,11
168005,15
168032,14
168148,9
168218,8
168227,18
168254,13
168263,15
168281,11
168342,6
168421,14
168430,17
168528,13
168546,11
168555,8
168573,25
168591,12
168607,14
168740,10
168786,10
168847,7
168883,16
168892,12
169080,12
169187,6
169248,19
169275,12
169284,17
169327,18
169363,11
169442,10
169479,13
169503,20
169521,16
169576,16
169655,15
169716,11
169734,16
169761,39
169798,14
169813,14
169910,16
169947,12
169974,21
169983,14
169992,12
170000,19
170037,15
170055,19
170082,16
170091,9
170240,21
170286,9
170301,11
170444,19
170532,13
170541,15
170550,11
170587,16
170611,16
170620,15
170639,14
170657,10
170675,11
170736,20
170790,25
170806,13
170967,11
170976,11
171012,36
171100,16
171128,12
171137,16
171146,14
171155,27
171225,13
171234,13
171304,19
171395,17
171456,20
171483,15
171492,9
171535,20
171571,19
171599,17
171775,11
171881,11
171988,12
171997,18
172015,18
172033,8
172051,17
172200,20
172264,12
172291,18
172307,16
172325,10
172334,11
172422,9
172440,10
172495,12
172608,11
172617,18
172635,26
172644,14
172671,13
172680,12
172699,16
172802,7
172866,9
172918,22
172927,8
172954,18
172963,31
173045,12
173063,23
173115,20
173124,20
173142,12
173160,11
173203,18
173258,9
173300,11
173328,18
173416,21
173452,12
173461,20
173470,12
173559,23
173638,20
173647,11
173665,13
173708,20
173735,15
173744,16
173799,22
173805,20
173902,10
173911,17
173920,22
173957,7
173993,20
174020,15
174066,17
174075,16
174127,10
174136,24
174154,12
174190,11
174233,17
174251,11
174321,16
174358,19
174376,24
174428,27
174437,16
174473,18
174491,17
174507,8
174525,8
174570,27
174604,18
174738,22
174747,11
174756,23
174783,20
174792,11
174817,18
174844,12
174862,15
174899,14
174914,14
174978,16
175005,12
175014,17
175041,24
175078,16
175120,20
175157,20
175227,11
175236,20
175263,20
175272,19
175315,24
175342,16
175421,8
175430,16
175494,16
175519,17
175573,20
175607,11
175616,13
175643,19
175652,21
175698,10
175722,15
175786,18
175810,17
175829,19
175856,14
175883,26
175935,17
175980,9
176008,18
176017,16
176035,14
176044,15
176053,14
176062,27
176071,24
176080,17
176169,24
176178,22
176239,19
176318,12
176336,3
176354,23
176372,17
176390,10
176406,9
176433,11
176479,15
176628,12
176664,12
176716,25
176770,11
176789,14
176798,11
176910,11
176947,12
176965,17
176983,3
177038,7
177065,23
177083,4
177117,6
177135,13
177144,14
177214,12
177250,15
177287,23
177302,15
177339,16
177418,10
177436,11
177472,15
177542,9
177551,17
177588,25
177603,10
177676,17
177685,12
177719,10
177746,9
177870,7
177931,3
177940,15
177968,12
177977,14
177986,15
177995,13
178004,9
178059,14
178077,15
178183,7
178208,20
178217,20
178244,19
178341,17
178369,14
178387,16
178396,17
178402,16
178411,18
178420,19
178448,23
178466,5
178527,10
178615,15
178624,21
178679,18
178697,15
178721,15
178767,10
178828,2
178891,11
178989,7
179043,14
179052,6
179159,9
179195,20
179229,7
179256,5
179265,9
179308,19
179326,12
179344,14
179450,11
179511,17
179539,19
179548,9
179557,19
179566,20
179645,19
179715,20
179867,7
179894,12
179946,10
179955,10
179964,9
179991,23
180054,13
180063,7
180081,13
180090,13
180106,12
180151,14
180160,12
180179,14
180197,12
180203,10
180212,10
180249,13
180258,8
180276,15
180328,15
180373,12
180416,13
180461,18
180489,15
180522,13
180595,10
180647,8
180692,15
180771,6
180814,27
180832,18
180878,10
180902,14
180948,17
180957,10
180984,14
181002,11
181020,11
181127,12
181145,6
181190,9
181215,13
181297,13
181303,14
181312,10
181330,14
181376,13
181394,17
181419,5
181428,2
181446,11
181464,17
181491,17
181534,20
181543,4
181604,10
181640,12
181738,9
181765,13
