"UNITID","ROOMAMT","ROOMCAP"
100654,3682,3220
100663,7767,2982
100724,3346,2491
100751,5900,8548
100830,4580,1200
100858,8104,4776
100937,7200,1358
101189,3925,704
101295,2800,180
101453,4740,35
101480,3800,2512
101541,6140,248
101569,3000,168
101587,4760,1019
101602,4200,92
101675,4182,865
101693,5400,600
101709,6695,1337
101879,3780,2266
101912,4692,1205
102049,5970,2375
102076,2250,89
102094,4100,3406
102234,7108,1137
102270,3404,502
102368,3300,1971
102377,4540,1651
102429,1450,88
102553,6300,991
102614,5050,1182
102632,5200,357
104151,7990,13148
104160,2240,343
104179,8050,7579
104346,2900,250
104586,6882,1358
104717,5000,13150
105297,1280,281
105330,5696,10144
105589,6990,104
105899,4700,518
106245,5180,1395
106263,7560,177
106306,4738,470
106342,5410,589
106397,7290,6234
106412,4600,1637
106467,4519,2496
106485,3365,767
106704,3948,3725
112127,4980,65
112251,9588,304
112260,9300,1236
112394,11990,200
106810,2800,145
107044,3764,3218
107071,4300,1989
107080,6320,1119
107512,4000,1528
107549,3200,16
107558,3500,671
107600,5192,635
107743,2120,52
107983,4184,2241
107992,4000,151
108092,5253,940
108232,11740,1284
108852,12015,148
109785,6136,2783
110097,6300,2743
110361,6330,3600
110370,11221,544
110398,15548,330
110404,9615,1547
110413,7590,1517
110422,8718,8425
110486,9000,496
110495,6970,730
110510,6606,1876
110529,10158,3710
110538,7780,2323
110547,10360,712
110556,5121,1139
110565,12174,2046
110574,8920,1666
110583,7994,2739
110592,8725,1060
110608,7054,3303
110617,7629,2175
110699,14737,1921
110918,4950,4
111081,6840,425
111188,6038,933
111948,10400,3714
112075,6840,936
113698,8530,545
113704,600,26
114433,5350,244
114840,15360,263
115409,10234,906
115728,7016,440
115755,6638,2058
116846,7644,176
117052,3878,140
117140,7380,1002
117168,10300,56
117195,6750,30
117274,3000,108
117575,6570,22
117636,4280,510
117751,6320,721
118888,6408,613
119270,12000,165
120166,5600,80
120184,9312,477
120254,9124,1639
120537,6120,326
120795,7992,121
120865,4860,1200
121257,10060,840
121345,9956,1554
122409,11893,7757
122506,13100,242
122597,9656,4046
122603,6360,80
122612,10470,2560
122728,6000,624
122755,9060,4059
123165,9584,1002
123280,2400,48
123299,4230,126
123457,5136,366
123484,4000,165
123572,7424,3299
123651,5480,1015
123943,850,49
123961,9612,8700
123970,15480,153
124283,15000,110
125462,3290,169
125718,3825,136
125727,8996,1207
125763,7896,831
125897,7508,224
126182,4000,1200
126562,9100,722
126669,6122,1090
126678,7756,1724
126711,5412,650
126748,2800,300
126775,8567,1861
126818,5976,8102
126979,7320,186
127060,8385,2753
127185,4796,1333
127389,2209,244
127556,6100,2533
127653,6880,102
127732,3058,578
127741,5304,3508
127918,7260,863
128106,6100,875
128258,2280,307
128328,0,4400
128391,5030,1241
128498,10692,317
128771,7174,2512
128902,9070,1738
129020,7238,12104
129154,4600,90
129215,7992,2510
129242,9280,3277
129491,6120,28
129525,8008,3340
129774,7150,633
129941,10350,2799
130253,10900,3099
130314,6631,412
130493,7222,2595
130590,9960,1999
130624,0,1100
130776,7749,1590
130794,9400,5576
130934,7490,2820
130943,7992,6976
130989,6720,299
131098,5818,693
131159,9996,4262
131283,8820,2050
131450,7968,1069
131469,14950,8013
131496,10824,5445
131520,9432,5230
131876,3760,300
131973,6716,237
132471,6660,1274
132602,6962,2653
132879,3480,221
132903,5400,12281
133021,1450,99
133492,6814,1795
133508,6660,402
133526,3788,520
133553,7080,2981
133650,6012,2520
133669,6100,4471
133702,7000,58
133711,6300,1220
133809,5000,608
133872,4400,174
133881,7000,2115
133951,7536,3710
133960,10314,100
133979,4270,1000
134079,7170,2184
134097,6680,6707
134130,5750,10781
134495,6795,420
134510,2490,220
134945,9200,1573
135160,3600,44
135726,8460,4216
136172,5772,3504
136215,9680,2100
136330,5530,1225
136774,8670,1191
136950,8500,1220
137032,7860,1607
137351,7878,6304
137476,7200,497
137546,8142,2051
137564,5240,1834
137777,6000,80
137847,5878,4575
138275,4576,440
138293,6258,412
