"UNITID","CHG3AY3","CHG2AY3"
100654,18634,10024
100663,20400,8568
100690,6950,6950
100706,23518,11122
100724,19396,11068
100751,30250,10780
100760,8800,4870
100830,18292,8620
100858,31124,11492
100937,18238,18238
101028,8790,4860
101116,17014,17014
101143,8730,4800
101161,8730,4800
101189,22310,22310
101240,7032,3888
101286,8670,4740
101295,8730,4800
101301,8430,4500
101365,14200,14200
101435,27400,27400
101453,11532,11532
101462,8700,4770
101471,5400,5400
101480,20840,11120
101505,8790,4860
101514,8810,4880
101541,18540,18540
101569,8730,4800
101587,20090,10990
101602,8730,4800
101648,15418,9418
101675,12464,12464
101693,23860,23860
101709,26728,13708
101736,8701,4771
101879,20220,10620
101897,8730,4800
101912,19990,19990
101994,8790,4860
102030,8610,4740
102049,32850,32850
102058,7280,7280
102067,8471,4541
102076,8880,4950
102094,16292,8396
102234,40648,40648
102270,11292,11292
102298,13846,13846
102313,8640,4710
102368,16708,8908
102377,22614,22614
102429,9342,5150
102553,28084,8103
102580,9700,9700
102614,21216,7080
102632,20832,6696
102669,20760,20760
102845,18161,18161
103945,14585,14585
104151,29428,11338
104160,9770,2780
104179,36718,12691
104188,23069,23069
104346,5160,2580
104425,6240,2112
104577,9120,2700
104586,36708,36708
104708,7854,2070
104717,17800,17800
105145,7854,2070
105154,7854,2070
105206,6972,2112
105297,1410,1410
105330,26516,11896
105349,9360,2380
105428,7854,2070
105525,7506,2190
105589,32553,32553
105668,7854,2070
105747,7854,2070
105792,7854,2070
105899,27890,27890
106148,9080,2492
106245,21754,9544
106306,8760,8760
106342,29140,29140
106397,25872,9384
106412,14908,8248
106449,4656,2928
106458,15860,8900
106467,13236,7668
106485,13759,7909
106546,11032,11032
106625,5448,3216
106704,15998,9188
106713,16650,16650
106795,4350,3900
106810,14500,14500
106883,3804,3225
106980,6230,5000
106999,3438,2850
107044,20735,20735
107071,10612,8902
107080,47600,47600
107141,27668,27668
107318,4186,3226
107327,4026,2626
107460,4632,2952
107488,2326,2326
107512,27900,27900
107521,5906,3458
107549,5356,3004
107558,25950,25950
107585,4128,3456
107600,13014,13014
107619,4910,3410
107637,6735,3855
107664,6900,5670
107725,4300,3250
107743,3648,3408
107840,5596,5596
107877,18060,18060
107974,4812,3012
107983,13580,9080
107992,6417,4977
108092,13026,5754
108232,23412,23412
108667,7617,1257
108807,7504,1352
108852,36190,36190
109086,30456,30456
109208,8928,1104
109350,6380,1124
109651,44932,44932
109785,40220,40220
109819,7737,1325
109907,7464,1104
110060,8095,8095
110097,41976,41976
110219,10075,10075
110246,6984,1368
110334,7462,1270
110361,34882,34882
110370,51092,51092
110404,54600,54600
110413,44382,44382
110422,23833,9943
110468,14880,14880
110486,19299,7419
110495,19422,7542
110510,18765,6886
110529,19276,7396
110538,19686,7806
110547,18826,6946
110556,18469,6589
110565,18804,6924
110574,18880,7000
110583,18714,6834
110592,18648,6768
110608,18857,6977
110617,19248,7368
110635,44007,14253
110644,44249,14495
110653,43481,13727
110662,42994,13240
110671,43607,13853
110680,44169,14415
110705,44145,14391
110714,43745,13991
110918,9810,9810
111045,7710,7710
111081,51466,51466
111188,18996,7116
111434,9006,1362
