"UNITID","IGRNT_N","IGRNT_P","IGRNT_A"
100654,897,64,8585
100663,1744,78,8160
100706,1192,83,11951
100724,467,46,7955
100751,3709,56,15676
100760,60,19,4858
100830,652,89,2851
100858,2882,61,8457
100937,316,96,7175
101028,172,52,3917
101116,1,14,1880
101143,104,33,3786
101161,579,40,5565
101189,233,92,11441
101240,183,21,3778
101286,91,14,4819
101295,211,23,3343
101301,59,21,4699
101365,4,25,2579
101435,248,100,11939
101453,4,100,8782
101462,8,11,2038
101480,639,60,7316
101505,176,17,4542
101514,261,22,2600
101541,62,100,14215
101569,320,47,4267
101587,243,59,3342
101602,161,43,3567
101648,212,92,7097
101675,135,39,6437
101693,233,93,12319
101709,405,83,10059
101736,259,41,1844
101879,750,76,5510
101897,105,22,4621
101912,302,99,10880
101994,44,65,3319
102030,160,26,4081
102049,948,99,16260
102058,5,17,1000
102067,135,18,4046
102076,242,54,4044
102094,1333,70,5545
102234,309,100,30572
102270,44,31,3607
102298,154,51,4332
102313,89,34,2774
102368,769,45,7618
102377,186,33,4949
102429,208,34,3658
102553,421,37,3357
102580,4,44,575
102614,244,42,4876
102632,63,38,2739
102669,31,86,10180
102711,16,10,2735
102845,463,77,1646
103501,6,2,500
103741,11,21,116
103945,1,14,6000
104090,36,3,3612
104151,8239,94,11467
104160,145,19,4698
104179,5205,87,11044
104188,3,13,1167
104346,213,36,2853
104425,198,38,1613
104434,4,33,113
104443,6,35,100
104568,2,1,1000
104577,125,25,7518
104586,567,93,15355
104708,573,37,1694
104717,2658,98,7951
105145,59,20,1233
105154,439,30,1856
105206,17,13,883
105215,216,51,1257
105297,3,2,767
105330,4625,92,9405
105349,14,44,1755
105428,172,27,1104
105525,150,10,2319
105534,165,25,832
105543,10,4,969
105589,45,100,18720
105659,442,47,1623
105668,12,13,770
105747,111,24,1548
105792,103,27,1173
105899,152,92,15488
106041,467,47,2249
106111,5,18,90
106148,140,28,3876
106245,254,46,6906
106306,9,5,4084
106342,215,100,19422
106397,1953,39,5650
106412,313,56,8429
106449,244,37,1933
106458,1197,78,7391
106467,1263,77,4973
106485,212,38,5194
106546,3,100,600
106625,113,36,844
106704,1177,58,6778
106713,124,98,7328
106795,28,16,1719
106810,51,96,4635
106883,47,26,1655
106980,51,21,1938
106999,130,55,2129
107044,824,96,9281
107071,556,66,5414
107080,309,100,38453
107141,301,94,16192
107220,23,9,229
107318,39,34,2156
107327,77,41,2415
107460,137,37,1740
107488,28,13,1389
107512,432,98,16104
107521,9,12,2789
107549,45,29,2032
107558,260,95,16441
107585,162,45,1366
107600,231,79,9303
107619,37,21,2044
107637,25,17,713
107664,112,17,3948
107725,78,36,1508
107743,51,44,1358
107789,17,41,1000
107840,9,12,5523
107877,156,100,6950
107974,27,17,1974
107983,699,79,6907
107992,43,25,2876
108092,596,58,3802
108232,110,33,8666
108649,3,4,2000
108807,5,0,502
108852,79,100,9015
109040,56,8,3774
109208,24,2,1415
109651,118,49,12746
109785,973,97,20190
109819,156,7,530
109907,43,15,79
109934,52,61,437
110060,27,50,1381
110097,838,99,19233
110246,217,17,380
110334,65,7,653
